,time_period,model_type,clf,parameters,auc-roc,p_at_1,p_at_2,p_at_5,p_at_10,p_at_20,p_at_30,p_at_50,r_at_1,r_at_2,r_at_5,r_at_10,r_at_20,r_at_30,r_at_50,f1_at_1,f1_at_2,f1_at_5,f1_at_10,f1_at_20,f1_at_30,f1_at_50
0,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 1}",0.4907007596950239,0.0,0.0,0.0,0.0,0.0,0.16647548035560653,0.3141775636613902,0.0,0.0,0.0,0.0,0.0,0.20037970314118053,0.6303072143596824,,,,,,0.18186090225563908,0.41933631875071764
1,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'sqrt', 'n_estimators': 10}",0.5631896203004186,0.25862068965517243,0.22413793103448276,0.22203098106712565,0.29733218588640276,0.2897397289739729,0.28505878979065097,0.3065209910529938,0.010355540214014497,0.01794960303762513,0.04452882292026234,0.11926130479806697,0.23248187780462548,0.34311356575768037,0.614946496375561,0.019913707268503156,0.033237456056248,0.07418056354226568,0.1702389751170239,0.2579718471703534,0.3114035087719298,0.409117005396716
2,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 1}",0.5021731960046545,0.004310344827586207,0.0021551724137931034,0.0008605851979345956,0.0004302925989672978,0.00021510002151000216,0.26756524232864926,0.34196490020646936,0.00017259233690024162,0.00017259233690024162,0.00017259233690024162,0.00017259233690024162,0.00017259233690024162,0.32205730065585086,0.6860545391784605,0.00033189512114171923,0.00031959092361776926,0.0002875215641173088,0.0002463661000246366,0.00019151584793641673,0.29229323308270677,0.45642438856355494
3,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 1, 'max_features': 'log2', 'n_estimators': 10}",0.5766111762625594,0.004310344827586207,0.0021551724137931034,0.3098106712564544,0.34982788296041306,0.32738223273822326,0.29767708632061946,0.2992085340674467,0.00017259233690024162,0.00017259233690024162,0.06213324128408699,0.14031756989989644,0.26268553676216777,0.35830169140490165,0.6002761477390404,0.00033189512114171923,0.00031959092361776926,0.10350776308223118,0.20029563932002956,0.29148712055922626,0.3251879699248121,0.3993569870249168
4,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 1}",0.5406948879561877,0.2629310344827586,0.1314655172413793,0.29604130808950085,0.2689328743545611,0.2798451279845128,0.26082592486377976,0.28544390915347556,0.01052813255091474,0.01052813255091474,0.05937176389368312,0.10787021056265102,0.22454263030721436,0.3139454608215395,0.5726613738350017,0.020245602389644877,0.019495046340683924,0.09890741805635424,0.15397881251539788,0.2491621181652782,0.2849310776942356,0.380985187736824
5,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'sqrt', 'n_estimators': 10}",0.5790597150895461,0.28448275862068967,0.3103448275862069,0.3313253012048193,0.3227194492254733,0.3211443321144332,0.30814453685116144,0.2924122505161734,0.011391094235415948,0.024853296513634795,0.06644804970659303,0.12944425267518123,0.25768035899206077,0.3709009319986193,0.5866413531239213,0.02190507799535347,0.046021093000958774,0.1106958021851639,0.18477457501847747,0.2859331609690702,0.3366228070175439,0.39028591112642097
6,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 1}",0.5450888580581398,0.29310344827586204,0.26939655172413796,0.2641996557659208,0.2715146299483649,0.15186061518606153,0.28692285632348724,0.30273571920165177,0.01173627890921643,0.021574042112530202,0.05298584742837418,0.10890576458405246,0.12185018985157059,0.3453572661373835,0.6073524335519503,0.02256886823763691,0.039948865452221156,0.0882691201840138,0.1554570091155457,0.1352101886431102,0.31343984962406013,0.4040647605924906
7,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 5, 'max_features': 'log2', 'n_estimators': 10}",0.5776748183172462,0.38362068965517243,0.3706896551724138,0.34853700516351116,0.32831325301204817,0.3121101312110131,0.3065672497849154,0.29224019270474877,0.015360717984121504,0.02968588194684156,0.06989989644459786,0.13168795305488437,0.2504314808422506,0.36900241629271663,0.5862961684501208,0.02953866578161301,0.054969638862256316,0.11644623346751005,0.18797733431879773,0.2778894953557407,0.3348997493734336,0.39005626363531976
8,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 1}",0.5434967298429376,0.004310344827586207,0.0021551724137931034,0.30120481927710846,0.2667814113597246,0.2591955259195526,0.24404932606825352,0.2798520302821748,0.00017259233690024162,0.00017259233690024162,0.06040731791508457,0.10700724887814982,0.20797376596479117,0.29375215740421123,0.561442871936486,0.00033189512114171923,0.00031959092361776926,0.10063254744105808,0.1527469820152747,0.23077659676338216,0.2666040100250627,0.3735216442760363
9,train_test_data_period_1,RF,"RandomForestClassifier(bootstrap=True, class_weight=None, criterion='gini',
            max_depth=10, max_features='log2', max_leaf_nodes=None,
            min_impurity_decrease=0.0, min_impurity_split=None,
            min_samples_leaf=1, min_samples_split=2,
            min_weight_fraction_leaf=0.0, n_estimators=10, n_jobs=-1,
            oob_score=False, random_state=None, verbose=0,
            warm_start=False)","{'max_depth': 10, 'max_features': 'sqrt', 'n_estimators': 10}",0.5737496281462799,0.3232758620689655,0.33620689655172414,0.3373493975903614,0.32013769363166955,0.3170574317057432,0.302982506452538,0.28802477632484513,0.012944425267518123,0.026924404556437694,0.06765619606489472,0.12840869865377977,0.25440110459095616,0.36468760787021054,0.577839143942009,0.024892134085628945,0.049856184084372,0.11270845313398505,0.1832963784183296,0.28229435985827833,0.33098370927318294,0.3844299001033413
